strain,strategy,flip_size,seed,gene_idx,gene_name,category,orig_presence,new_presence,logit_prob_var1,logit_prob_var10,logit_prob_var100,suspect_var1,suspect_var10,suspect_var100,z_score_var1,z_score_var10,z_score_var100,consistent_across_variations,only_suspect_at_100,suspect_at_all
10465,core_targeted,20,42,1439,"FEOBHI_05815 Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific",core,1,0,11.511559,10.122262,7.74345,False,False,False,0.4420038453366395,0.5699137000727965,0.6418112358540647,True,False,False
10465,core_targeted,20,42,1661,FEOBHI_01075 6-phospho-N-acetylmuramidase,core,1,0,10.397177,8.099803,5.704255,False,False,False,0.26276643482055684,0.17808968132283878,0.12668792374022975,True,False,False
10465,core_targeted,20,42,2325,FEOBHI_07535 DNA-directed RNA polymerase subunit beta,core,1,0,11.511559,10.149332,7.271433,False,False,False,0.4420038453366395,0.5751581456648018,0.5225744976245006,True,False,False
10465,core_targeted,20,42,2335,FEOBHI_05475 PolC-type DNA polymerase III,core,1,0,11.511559,10.711254,8.322172,False,False,False,0.4420038453366395,0.6840229168487982,0.7880028425582509,True,False,False
10465,core_targeted,20,42,2501,"FEOBHI_03610 23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family",core,1,0,11.499723,9.204132,6.434903,False,False,False,0.4401001408700666,0.3920384569480169,0.31125772591675016,True,False,False
10465,core_targeted,20,42,3256,MDBBCG_07470 50S ribosomal protein L31,core,0,1,-10.029593,-7.754995,-5.525889,False,False,False,-0.16114932508670815,-0.039103432516246824,0.03712573818700809,True,False,False
10465,core_targeted,20,123,10,FEOBHI_03040 50S ribosomal protein L36,core,1,0,11.511559,9.298504,6.839953,False,False,False,0.4420038453366395,0.41032175282569405,0.41357785595419577,True,False,False
10465,core_targeted,20,123,29,FEOBHI_03910 50S ribosomal protein L33,core,1,0,9.914057,7.58321,5.473753,False,False,False,0.18506132313665516,0.07800678949754256,0.06846055770173762,True,False,False
10465,core_targeted,20,123,202,FEOBHI_10295 type B 50S ribosomal protein L31,core,1,0,11.067172,9.041536,6.644383,False,False,False,0.37052855665913886,0.3605376857814975,0.3641747012043544,True,False,False
10465,core_targeted,20,123,244,FEOBHI_02945 30S ribosomal protein S19,core,1,0,6.832058,4.475975,1.363204,False,False,False,-0.3106479758049608,-0.5239778761498329,-0.9699097872070193,True,False,False
10465,core_targeted,20,123,370,FEOBHI_03820 rRNA maturation RNase YbeY,core,1,0,11.511559,10.161603,7.628047,False,False,False,0.4420038453366395,0.5775354855931172,0.6126591559461241,True,False,False
10465,core_targeted,20,123,436,FEOBHI_02975 50S ribosomal protein L14,core,1,0,11.465038,9.126637,6.569417,False,False,False,0.4345213989451699,0.37702485106872463,0.34523745674468964,True,False,False
10465,core_targeted,20,123,550,FEOBHI_07560 50S ribosomal protein L11,core,1,0,11.511559,11.511559,9.364438,False,False,False,0.4420038453366395,0.8390711632289152,1.0512908135583947,True,False,False
10465,core_targeted,20,123,664,FEOBHI_07195 Ribosomal protein S18 acetylase RimI and related acetyltransferases,core,1,0,11.511559,10.639056,8.118642,False,False,False,0.4420038453366395,0.67003553292373,0.7365889033741468,True,False,False
10465,core_targeted,20,123,780,FEOBHI_02985 50S ribosomal protein L5,core,1,0,11.288412,8.957541,6.45299,False,False,False,0.40611283987851793,0.3442647930034967,0.31582670306028116,True,False,False
10465,core_targeted,20,123,787,FEOBHI_06170 16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,core,1,0,11.511559,9.991697,7.366008,False,False,False,0.4420038453366395,0.5446185010066658,0.5464651933368606,True,False,False
10465,core_targeted,20,123,1439,"FEOBHI_05815 Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific",core,1,0,11.511559,10.351366,7.801515,False,False,False,0.4420038453366395,0.6142994947868999,0.656479099946459,True,False,False
10465,core_targeted,20,123,1570,FEOBHI_12075 putative tRNA-dihydrouridine synthase,core,1,0,10.860962,8.53033,5.736833,False,False,False,0.3373617014671839,0.26149845219056117,0.13491748847633614,True,False,False
10465,core_targeted,20,123,1573,FEOBHI_08110 tryptophan--tRNA ligase,core,1,0,10.336551,8.004677,5.883395,False,False,False,0.25301533757567324,0.15966030816491136,0.17194067795553164,True,False,False
10465,core_targeted,20,123,1962,FEOBHI_05885 UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,core,1,0,11.511559,9.507765,6.848812,False,False,False,0.4420038453366395,0.45086323524270955,0.4158157377761971,True,False,False
10465,core_targeted,20,123,1978,FEOBHI_10105 UDP-N-acetylmuramyl pentapeptide synthase,core,1,0,11.511559,9.965987,7.551024,False,False,False,0.4420038453366395,0.5396375369811595,0.5932022904335351,True,False,False
10465,core_targeted,20,123,1984,FEOBHI_09885 chromosomal replication initiator protein DnaA,core,1,0,11.511559,10.716617,8.135599,False,False,False,0.4420038453366395,0.6850619254084555,0.7408724299635677,True,False,False
10465,core_targeted,20,123,2215,FEOBHI_09390 ABC-F type ribosomal protection protein,core,1,0,10.293377,7.95485,5.701324,False,False,False,0.24607122329383682,0.15000700227230557,0.12594752057731212,True,False,False
