gene_idx	gene_name	category	n_train_flipped	n_val_flipped	n_val_not_flipped	cutoff_99th	tp	fp	fn	tn	sensitivity	specificity	false_positive_rate	dor	log10_dor
2145	FEOBHI_05295 Aerobic glycerol-3-phosphate dehydrogenase	other	1560	258	87096	3.4728729844093342	257	33	1	87063	0.9961240310077519	0.9996211077431799	0.00037889225682006064	678036.0909090909	5.831252811367805
456	FEOBHI_11505 glycine cleavage system protein GcvH	other	1635	279	87075	4.5815573120117215	277	18	2	87057	0.992831541218638	0.9997932816537468	0.00020671834625322997	669855.25	5.825980965509832
202	FEOBHI_10295 type B 50S ribosomal protein L31	core	1662	276	87078	2.9462504458427397	275	36	1	87042	0.9963768115942029	0.999586577551161	0.00041342244883897194	664904.1666666666	5.8227590544954895
3945	GFNPHG_01455 Plasmodium variant antigen protein Cir/Yir/Bir	other	1722	276	87078	4.5350643825531	275	36	1	87042	0.9963768115942029	0.999586577551161	0.00041342244883897194	664904.1666666666	5.8227590544954895
455	FEOBHI_08910 GntR family transcriptional regulator	other	1536	276	87078	5.385571455955505	275	36	1	87042	0.9963768115942029	0.999586577551161	0.00041342244883897194	664904.1666666666	5.8227590544954895
2307	FEOBHI_06340 excinuclease ABC subunit UvrA	other	1632	276	87078	4.708041858673096	275	36	1	87042	0.9963768115942029	0.999586577551161	0.00041342244883897194	664904.1666666666	5.8227590544954895
566	FEOBHI_02960 50S ribosomal protein L16	core	1593	321	87033	3.156852140426636	319	21	2	87012	0.9937694704049844	0.999758712212609	0.00024128778739098962	660876.8571428572	5.820120543834219
1534	FEOBHI_11100 6-phosphofructokinase	other	1734	312	87042	3.5295149707794202	311	41	1	87001	0.9967948717948718	0.9995289630293421	0.00047103697065784336	659934.4146341464	5.819500776787629
1603	FEOBHI_01455 N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB	other	1722	342	87012	4.673732380867004	341	45	1	86967	0.9970760233918129	0.999482829954489	0.000517170045510964	659016.6	5.818896354195832
670	FEOBHI_12740 nucleoside triphosphatase YtkD	other	1776	318	87036	2.942971885204315	316	21	2	87015	0.9937106918238994	0.999758720529436	0.00024127947056390458	654684.2857142857	5.816031916743782
2244	FEOBHI_05660 ATP-dependent DNA helicase RecG	other	1743	318	87036	3.8863780832290646	316	21	2	87015	0.9937106918238994	0.999758720529436	0.00024127947056390458	654684.2857142857	5.816031916743782
1253	FEOBHI_06040 glutamate racemase	other	1626	294	87060	3.5641382932662964	293	39	1	87021	0.9965986394557823	0.999552033080634	0.0004479669193659545	653773.1538461539	5.815427082998932
244	FEOBHI_02945 30S ribosomal protein S19	core	1740	339	87015	4.534864940643308	338	45	1	86970	0.9970501474926253	0.9994828477848646	0.0005171522151353214	653241.3333333334	5.815073656576971
1280	FEOBHI_06940 teichoic acids export ABC transporter permease subunit TagG	resistance	1749	315	87039	3.580487260818481	314	42	1	86997	0.9968253968253968	0.9995174576913797	0.0004825423086202737	650406.1428571428	5.813184634363936
941	FEOBHI_10255 uracil phosphoribosyltransferase	other	1788	336	87018	3.475304453372953	333	15	3	87003	0.9910714285714286	0.999827621871337	0.00017237812866303525	643822.2	5.808765947763189
782	FEOBHI_10225 F0F1 ATP synthase subunit delta	core	1725	336	87018	3.172025327682495	333	15	3	87003	0.9910714285714286	0.999827621871337	0.00017237812866303525	643822.2	5.808765947763189
3346	MDBBCG_05770 indole-3-glycerol phosphate synthase TrpC	other	1731	327	87027	5.194604635238648	325	22	2	87005	0.9938837920489296	0.9997472048904363	0.0002527951095636986	642650.5681818182	5.8079748958470905
1497	FEOBHI_11305 DNA-binding protein WhiA	other	1695	333	87021	4.796981239318846	332	45	1	86976	0.996996996996997	0.9994828834419278	0.0005171165580721895	641689.6	5.807325000645074
1875	FEOBHI_05620 signal recognition particle-docking protein FtsY	core	1806	372	86982	4.085909247398378	371	51	1	86931	0.9973118279569892	0.9994136717941643	0.0005863282058356902	632380.4117647059	5.8009784090238465
4573	JICCIG_06165 CbiX protein	other	1662	291	87063	5.177950258255004	287	10	4	87053	0.9862542955326461	0.9998851406452799	0.00011485935472014518	624605.275	5.795605647671507
209	FEOBHI_03590 IreB family regulatory phosphoprotein	other	1830	345	87009	3.1284743356704716	343	24	2	86985	0.9942028985507246	0.9997241664655381	0.0002758335344619522	621580.3125	5.79349725047108
622	FEOBHI_03465 ACT domain-containing protein	other	1626	315	87039	4.767450213432312	314	44	1	86995	0.9968253968253968	0.9994944794862073	0.0005055205137926677	620827.9545454546	5.79297126403541
