gene_idx	gene_name	category	n_train_flipped	cutoff_99th
146	FEOBHI_11900 YozE-SAM-like domain-containing protein	other	1596	6.5529811620712275
147	FEOBHI_13290 UPF0346 protein SAB1276c	other	1518	5.18035084247589
148	FEOBHI_07030 DUF2922 domain-containing protein	other	1614	6.12590641498565
149	FEOBHI_09375 Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis)	core	1599	5.856749792098999
150	FEOBHI_12500 Ankyrin repeat protein	other	1746	5.918719053268432
151	FEOBHI_12870 Staphylococcal protein	other	1617	4.966573982238768
152	FEOBHI_05950 Conserved domain protein	other	1677	6.492160243988038
153	FEOBHI_11855 Fe2+ transport protein FeoA	other	1617	5.9132936477661096
154	FEOBHI_04045 exodeoxyribonuclease VII small subunit	other	1629	6.797541694641114
155	FEOBHI_08970 DUF2951 domain-containing protein	other	1719	8.79551710128784
156	FEOBHI_09190 LSM domain protein	other	1611	7.126423406600986
157	FEOBHI_10405 DUF1427 domain-containing protein	other	1602	5.186786093711856
158	FEOBHI_10780 UPF0291 protein SAS2460	other	1605	5.28915424346924
159	FEOBHI_02650 DUF4401 domain-containing protein	other	1563	4.822244310379018
160	FEOBHI_02830 molybdopterin converting factor subunit 1	other	1710	5.669118995666506
161	FEOBHI_05280 RNA chaperone Hfq	other	1629	6.801997375488281
162	FEOBHI_05635 acyl carrier protein	other	1719	2.597144732475279
163	FEOBHI_05995 Phage protein	phage	1692	7.856348190307601
164	FEOBHI_07675 glutaredoxin-like protein NrdH	other	1728	6.68337152004242
165	FEOBHI_10200 Uncharacterized membrane protein YwzB	other	1680	5.226383204460146
166	FEOBHI_11360 preprotein translocase subunit SecG	other	1599	3.5322545146942135
167	FEOBHI_04360 Terminase small subunit	phage	1557	8.462456893920903
168	FEOBHI_05055 Secreted protein	other	1698	6.7792496633529655
169	FEOBHI_06350 General stress protein CsbA (function unknown)	other	1719	4.81468651771545
170	FEOBHI_07360 Thioesterase	other	1773	10.320900497436522
171	FEOBHI_08390 UPF0349 protein SAUSA300_0842	other	1608	5.620795774459848
172	FEOBHI_08415 D-alanine--poly(phosphoribitol) ligase subunit 2	other	1593	3.3834864616394045
173	FEOBHI_09110 Phi PVL orf 52-like protein	phage	1737	8.40854778289791
174	FEOBHI_09895 Ribosome-associated protein YbcJ, S4-like RNA-binding protein	core	1677	6.347531623840332
175	FEOBHI_11460 Methyltransferase	other	1608	6.228994417190555
176	FEOBHI_03240 Uncharacterized membrane protein	other	1653	5.982129707336426
177	FEOBHI_04265 LSM domain protein	other	1665	6.1905264663696284
178	FEOBHI_05050 UPF0291 protein SA1176	other	1635	3.8648904561996464
179	FEOBHI_00195 30S ribosomal protein S18	core	1722	4.998899631500244
180	FEOBHI_00625 type VII secretion protein EsaB	other	1599	5.414439020156858
181	FEOBHI_04335 Phage protein	phage	1794	9.213251581192015
182	FEOBHI_08405 NifU-like protein	other	1503	5.820401830673219
183	FEOBHI_09105 Phage protein	phage	1680	8.385940237045292
184	FEOBHI_07215 Phage protein	phage	1743	7.123026218414305
185	FEOBHI_07925 Inner membrane protein	other	1545	5.821297779083238
186	FEOBHI_09095 Phage protein	phage	1713	8.399775772094722
187	FEOBHI_04150 PID domain-containing protein	other	1620	7.373198852539053
188	FEOBHI_04340 Phage protein	phage	1644	7.831676158905026
189	FEOBHI_04575 Ferredoxin	other	1641	3.5472646236419636
190	FEOBHI_05215 Phage protein	phage	1587	8.055658931732152
191	FEOBHI_11665 UPF0213 protein SAOUHSC_00458	other	1674	6.094128265380858
192	FEOBHI_13165 Pathogenicity island protein Orf16	other	1614	8.062565250396725
193	FEOBHI_02865 GGDEF domain-containing protein	other	1614	7.3409035348892155
194	FEOBHI_03740 30S ribosomal protein S20	core	1623	7.02228094100952
195	FEOBHI_05225 DUF1642 domain-containing protein	other	1638	10.922575473785388
196	FEOBHI_07995 YueH family protein	other	1707	7.03597093582154
197	FEOBHI_13245 NifU N-terminal domain-containing protein	resistance	1761	6.909177398681661
198	FEOBHI_01295 Spiroplasma plectrovirus-related protein	other	1743	4.590640115737914
199	FEOBHI_06180 UPF0298 protein SAV1122	other	1566	5.784221935272214
200	FEOBHI_08965 phage holin	phage	1677	6.776624984741214
201	FEOBHI_09430 ACT domain-containing protein	other	1788	4.628038692474362
202	FEOBHI_10295 type B 50S ribosomal protein L31	core	1662	2.9462504458427397
203	FEOBHI_12065 NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	iron_fes	1572	6.421952695846552
204	FEOBHI_04325 DUF3310 domain-containing protein	other	1569	7.5549384689331
205	FEOBHI_08095 Competence protein CoiA, contains putative nuclease domain	other	1701	6.468260288238525
206	FEOBHI_11890 hypothetical protein	other	1713	5.966022911071777
207	FEOBHI_12745 membrane protein insertion efficiency factor YidD	other	1641	5.533669090270996
208	FEOBHI_03490 preprotein translocase subunit YajC	other	1584	4.269612879753113
209	FEOBHI_03590 IreB family regulatory phosphoprotein	other	1830	3.1284743356704716
210	FEOBHI_04290 DUF1108 domain-containing protein	other	1641	9.68480968475341
211	FEOBHI_07065 Transposon-related protein	other	1713	8.786006088256828
212	FEOBHI_09170 DUF1108 domain-containing protein	other	1572	7.29913744449614
213	FEOBHI_09175 Phage protein	phage	1587	7.042578496932983
214	FEOBHI_11450 Antiseptic resistance protein SepA	other	1578	9.017055835723877
215	FEOBHI_12050 persulfide-sensing transcriptional repressor CstR	other	1737	7.0051284599304084
216	FEOBHI_12695 UPF0457 protein SACOL2163	other	1662	5.209017257690429
217	FEOBHI_02970 30S ribosomal protein S17	core	1653	3.616508350372315
218	FEOBHI_04275 DNA-binding protein	other	1725	9.279435081481934
219	FEOBHI_07760 phosphoribosylformylglycinamidine synthase subunit PurS	other	1599	5.343918876647949
220	FEOBHI_09165 Phage protein	phage	1614	7.954988312721245
221	FEOBHI_09215 DNA-binding protein	other	1653	7.2466830444335955
222	FEOBHI_11575 Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain	core	1656	5.676325035095215
223	FEOBHI_11635 DUF1021 domain-containing protein	other	1731	5.521064615249637
224	FEOBHI_01735 Exported protein	other	1647	7.402422857284544
225	FEOBHI_05205 Phage protein	phage	1650	8.564073152542115
226	FEOBHI_06085 cell division protein ZapA	other	1578	6.0714652633667
227	FEOBHI_07685 phosphocarrier protein HPr	other	1659	3.3359743165969853
228	FEOBHI_08450 Cytosolic protein	other	1647	6.430627660751342
229	FEOBHI_03670 EamA domain-containing protein	other	1572	8.290938568115205
230	FEOBHI_05075 30S ribosomal protein S14	core	1605	4.981068630218506
231	FEOBHI_05430 30S ribosomal protein S15	core	1743	4.867292757034301
232	FEOBHI_11020 DUF4257 domain-containing protein	other	1674	6.763149509429929
233	FEOBHI_13075 acylphosphatase	other	1695	6.539224557876586
234	FEOBHI_00070 Transposase InsE and inactivated derivatives	other	1563	7.075779418945304
235	FEOBHI_04630 DNA-binding protein HU	other	1602	3.6469656825065613
236	FEOBHI_13145 Excisionase	other	1647	9.264252948760983
237	FEOBHI_02935 50S ribosomal protein L23	core	1602	4.665183424949646
238	FEOBHI_05605 30S ribosomal protein S16	core	1767	4.651984090805053
239	FEOBHI_06225 UPF0358 protein SaurJH1_1194	other	1674	3.9396140432357787
240	FEOBHI_06295 UPF0223 protein MW0980	other	1713	5.122691516876221
241	FEOBHI_08650 Exported protein	other	1686	5.288473224639895
242	FEOBHI_10700 DUF2951 domain-containing protein	other	1680	4.360673809051514
243	FEOBHI_00830 Phosphotransferase system, galactitol-specific IIB component	other	1677	6.516835842132572
244	FEOBHI_02945 30S ribosomal protein S19	core	1740	4.534864940643308
245	FEOBHI_04435 head-tail connector protein	phage	1635	9.671411647796639
246	FEOBHI_05730 Uncharacterized membrane protein YozV, TM2 domain, contains pTyr	other	1809	9.241085662841801
247	FEOBHI_10715 TIGR04197 family type VII secretion effector	other	1587	6.51154807090758
248	FEOBHI_01055 CPBP family intramembrane metalloprotease	other	1701	6.75994873046875
249	FEOBHI_01795 DUF1413 domain-containing protein	other	1623	6.368486976623535
250	FEOBHI_03425 MW1603 protein	other	1578	5.954142775535584
251	FEOBHI_00375 Phosphotransferase system, galactitol-specific IIB component	other	1644	5.38685873031616
252	FEOBHI_01590 putative acetyltransferase, GNAT superfamily	other	1482	7.158724069595337
253	FEOBHI_03455 50S ribosomal protein L27	core	1575	4.184849472045898
254	FEOBHI_05460 DUF448 domain-containing protein	other	1704	3.769666335582733
255	FEOBHI_06670 Membrane protein	other	1800	6.27370647907257
256	FEOBHI_07040 Transposon-related protein	other	1638	7.2538062381744375
257	FEOBHI_09030 Phage head-tail adapter protein	phage	1710	9.633599338531495
258	FEOBHI_09035 Transcriptional terminator	resistance	1620	9.774196538925167
259	FEOBHI_09305 co-chaperone GroES	other	1776	5.43570077419281
260	FEOBHI_11435 Phage protein	phage	1665	7.703062992095941
261	FEOBHI_01780 Lipoprotein	other	1662	7.758656954765307
262	FEOBHI_05040 UPF0154 protein SaurJH1_1431	other	1569	5.564547538757318
263	FEOBHI_06685 Group-specific protein	other	1662	4.910373730659483
264	FEOBHI_07920 Phage protein	phage	1653	8.200017547607423
265	FEOBHI_08975 Phi PVL orf 22-like protein	phage	1758	8.856685209274293
266	FEOBHI_00185 Integrase-like protein	phage	1677	5.99814838409424
267	FEOBHI_01300 Replication initiation protein	other	1821	6.2052059173583975
268	FEOBHI_03695 ribosome assembly RNA-binding protein YhbY	core	1488	5.276205344200134
269	FEOBHI_04390 VRR-NUC domain-containing protein	other	1695	9.114760417938218
270	FEOBHI_04495 Phage protein	phage	1674	9.569755926132197
