variation	gene_idx	gene_name	category	n_train_flipped	n_val_flipped	n_val_not_flipped	cutoff_99th	tp	fp	fn	tn	sensitivity	specificity	false_positive_rate	dor	log10_dor
1	1298	FEOBHI_07865 1,4-dihydroxy-2-naphthoyl-CoA synthase	other	586	98	29020	3.634431099891662	97	3	1	29017	0.9897959183673469	0.9998966230186078	0.00010337698139214335	938216.3333333334	5.972302989274956
1	5438	JNPAEA_12780 Lipase-3 domain-containing protein	other	550	98	29020	4.933514380455017	97	3	1	29017	0.9897959183673469	0.9998966230186078	0.00010337698139214335	938216.3333333334	5.972302989274956
1	4552	JICCIG_06825 putative Na+-dependent transporter YfeH	other	582	96	29022	6.439741654396049	95	3	1	29019	0.9895833333333334	0.9998966301426504	0.00010336985734959685	918935.0	5.963284793062193
1	4744	JAMKPL_03580 Sirohydrochlorin ferrochelatase	other	548	96	29022	6.5996025466918775	95	3	1	29019	0.9895833333333334	0.9998966301426504	0.00010336985734959685	918935.0	5.963284793062193
1	1390	FEOBHI_04050 Geranylgeranyl pyrophosphate synthase	other	530	95	29023	3.7932466745376603	94	3	1	29020	0.9894736842105263	0.9998966337043035	0.00010336629569651656	909293.3333333334	5.958704006981753
1	139	FEOBHI_03035 translation initiation factor IF-1	other	519	89	29029	2.5956662607193084	88	3	1	29026	0.9887640449438202	0.9998966550690689	0.00010334493093113783	851429.3333333334	5.930148608356214
1	370	FEOBHI_03820 rRNA maturation RNase YbeY	core	578	113	29005	5.024314274787903	111	2	2	29003	0.9823008849557522	0.9999310463713152	6.895362868470953e-05	804833.25	5.905705910049369
1	3838	GFNPHG_05190 Arsenical resistance operon repressor	other	557	83	29035	5.988453884124745	82	3	1	29032	0.9879518072289156	0.9998966764250043	0.00010332357499569486	793541.3333333334	5.899569552856554
1	5451	FKHKIA_10925 Cytosolic protein	other	543	101	29017	6.909787569046023	100	4	1	29013	0.9900990099009901	0.9998621497742702	0.00013785022572974462	725325.0	5.860532646681288
1	4994	OJEMIL_05230 TIGR01741 family protein	other	521	100	29018	6.197700500488274	99	4	1	29014	0.99	0.9998621545247777	0.00013784547522227583	718096.5	5.856182809982439
1	1125	FEOBHI_02120 ABC-type amino acid transport system, permease component	resistance	538	109	29009	4.232102179527283	108	5	1	29004	0.9908256880733946	0.9998276396980248	0.00017236030197524907	626486.4	5.796911647606206
1	3293	MDBBCG_07455 Phage protein	phage	542	107	29011	5.58544618129731	106	5	1	29006	0.9906542056074766	0.999827651580435	0.0001723484195649926	614927.2	5.788823703564484
1	1426	FEOBHI_13325 NERD domain-containing protein	other	567	126	28992	4.87623046875	125	6	1	28986	0.9920634920634921	0.9997930463576159	0.00020695364238410596	603875.0	5.780947050494576
1	4127	JABGIB_09645 Transposase	other	596	121	28997	5.389858794212338	120	6	1	28991	0.9917355371900827	0.99979308204297	0.00020691795703003759	579820.0	5.763293191598201
1	4826	GGOKJO_00870 MFS transporter	other	560	120	28998	6.874373936653128	118	3	2	28995	0.9833333333333333	0.999896544589282	0.00010345541071798055	570235.0	5.756053870006716
1	1013	FEOBHI_10970 Membrane-associated phospholipid phosphatase	other	555	119	28999	4.833259592056274	118	6	1	28993	0.9915966386554622	0.999793096313666	0.00020690368633401152	570195.6666666666	5.756023912465013
1	1579	FEOBHI_04070 TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	other	577	118	29000	4.911420288085938	117	6	1	28994	0.9915254237288136	0.9997931034482759	0.00020689655172413793	565383.0	5.752342745934208
1	5075	EFLOIL_11760 hypothetical protein	other	545	118	29000	5.410635414123534	117	6	1	28994	0.9915254237288136	0.9997931034482759	0.00020689655172413793	565383.0	5.752342745934208
1	362	FEOBHI_10310 DNA-binding transcriptional regulator, HxlR family	other	490	98	29020	4.815079126358032	97	5	1	29015	0.9897959183673469	0.9998277050310131	0.00017229496898690558	562891.0	5.7504243048307755
1	976	FEOBHI_03030 adenylate kinase	other	550	115	29003	3.610335354804991	114	6	1	28997	0.991304347826087	0.9997931248491535	0.00020687515084646417	550943.0	5.741106669512444
1	5033	ILDCAO_04390 bi-component leukocidin LukED subunit E	other	579	114	29004	5.0032096672058115	112	3	2	29001	0.9824561403508771	0.9998965659908978	0.0001034340091021928	541352.0	5.733479745599088
